Crash Year,Crash Report Number,Vehicle Sequence Number,Vehicle Make,Vehicle Model,Vehicle Color,Vehicle Style,Vehicle Body Type Code,Vehicle Year,Vehicle ID Number
2017,800621250,1,VICO,MC,RED,MC,11,2011,5VPBB36N8B3006445
2017,800621250,2,VICO,MC,WHI,MC,11,2017,5VPXMAAXH3058731
2017,801302930,1,ZHNG,,BLK,MC,12,2017,L5YACBPA6H1110605
2017,801312060,1,BOOM,,RED,MC,12,2017,L2BBFACG7G
2017,808057920,1,H/D,2005,BLK,MC,11,2005,1HD1FRW135Y630495
2017,808057920,2,H/D,,BRZ,MC,11,1978,7G57063H9
2017,808058500,2,HONDA,UNK,RED,MC,11,2004,1HFSC55094A001352
2017,808059390,1,YAMAH,YAMAHA,BLK,MC,11,2006,JYAVP21E66A000834
2017,808241460,1,LINH,ST. MORITZ,BLK,MC,11,2014,LL8SZV4W6E0D00052
2017,808262710,1,NISS,VERSA,RED,4D,11,2011,3N1BC1CP0BL437083
2017,808262710,2,KAWK,NINJA,WHI,MC,11,2015,JKAEX8A17FDA21188
2017,808264630,2,HARLE,UNK,BLU,MC,11,2006,1HD1FCW166Y704894
2017,808270050,2,OTHE,OTHER,BLU,MC,11,1999,1HD1BML12XY017905
2017,810191850,2,YAMA,MOTORCYC,BLK,MC,11,2007,JYAVM01E27A108155
2017,810192740,1,VICO,MC,BLK,MC,11,2010,5VPXB36D4A3000153
2017,810193420,2,HD,HERITAGE,BLK,MC,11,2012,1HD1BWV1XCB048857
2017,810193500,2,MOTI,,GRY,,11,2015,RFVPMP205F1009357
2017,810193840,1,,EXTREME,BLK,,12,2000,LEHTCB01XHR000807
2017,810194230,1,HOND,125,WHI,MC,11,2017,MLHJC6111H5204761
2017,813646820,1,TAOI,FUTURE,MUL/CO,MC,12,2016,L9NETACT1G1051507
2017,814424320,1,YAMA,R110E,BLU,MC,11,2008,JYACE25Y28A005758
2017,814457070,2,SUZI,,WHI,MC,11,2017,JS1SK44A5H2100778
2017,814478000,1,SUZU,KATANA,BLK,MC,11,2006,JS1GN79A662105380
2017,814559590,1,TOYT,CORROLA,GRY,4D,11,2015,2T1BURHE9FC310986
2017,814570410,2,HOND,,BLU,MC,11,1985,JH2RC1302FM205120
2017,814583250,1,HOND,,RED,MC,12,2014,MLHNF0402E5000328
2017,814595890,1,HOND,CB1100,MAR,MC,11,2013,JH2SC6511DK001079
2017,814602180,2,HD,ROAD KING,SIL,MC,11,2011,1HD1FRM1XBB669540
2017,814609290,1,,,BLK,MC,11,,
2017,814610540,1,YAMA,96,MUL/CO,MC,11,1996,JYA1TEE03TA069471
2017,814616350,1,SUZI,SV650,BLK,MC,11,2004,JS1VP53A542100733
2017,814619190,1,HOND,CBR900,GLD,MC,11,2003,JH2SC50073M102378
2017,814620960,1,DUCA,DIAVEL,BLK,MC,11,2013,ZDM13BLW8DB010975
2017,814636580,2,HONDA,CBR600F4,YEL,MC,11,1999,JH2PC3505XM001896
2017,814638140,2,FRHT,,GRN,TR,11,2014,1FUJGBDV9ELFM0885
2017,814641850,2,CHEV,EQUINOX,BLK,UT,11,2015,2GNALAEK8F1126963
2017,814647440,1,BASH,TPGS810,BLU,MS,12,2012,LHJTLBBN6CB200396
2017,814650180,1,HD,WIDEGLIDE,MUL/CO,MC,11,2000,1HD1GEV12YY310516
2017,814655370,1,KAWK,NINJA,GRN,MC,11,2008,JKAZXCE148A012612
2017,814656250,1,KAWA,80,GRN,MC,11,,JKAKXWWC9WA000746
2017,814656830,3,CHRY,300,LBL,4D,11,2012,2C3CCACG6CH167910
2017,814658170,2,YAMA,C3,BLU,MS,12,2017,LPRSA33A57A101562
2017,814662880,1,KYMC,AGILITY SO,BLU,MD,12,2017,LC2U6A036HC000172
2017,814664660,2,BMW,,MUL/CO,MC,11,2003,WB10498A93ZG70474
2017,814667410,1,SUZI,ZR 7,RED,MC,11,1996,JS1GN77A2T2101924
2017,814669070,1,SUZI,RGSX,MUL/CO,MC,11,2006,JS1GN7DA962107633
2017,814672510,2,BUEL,,WHI,MB,11,2008,4MZKP01D083000415
2017,814673310,1,SUZI,600,BLK,MC,11,2004,JS1GT75AX42100076
2017,814673630,1,RHIN,202T,BLU,MS,12,2003,RXC5XA0G13Y565348
2017,814675000,2,ISU,NPR,MUL/CO,,11,2013,JALC4J169D7000794
2017,814677640,1,TAO,,BLK,MS,12,2014,L9NTEACB3E1174181
2017,814678130,3,KAWK,MC,SIL,MC,11,2013,JKBZXJE18DA006306
2017,814678200,2,ZNEN,50CC,MUL/CO,MS,12,2008,L5YTCKPA181237075
2017,814679110,1,HOND,CVR600R,BLK,MC,11,2005,JH2PC37055M203289
2017,814684080,1,,,BLK,,11,,
2017,814685030,1,YAMA,,BLK,MC,11,2015,JYARN39E7FA000651
2017,814687380,1,KYMC,,MUL/CO,MC,12,2009,RFBB2J1039B250943
2017,814689730,2,YAMA,STAR,BLU,MC,11,2009,JYAVP22E79A007682
2017,814690830,1,HYUN,VELASTER,BLK,3D,11,2013,KMHTC6AE7DU126674
2017,814695560,1,HOND,600,RED,MC,11,,JH2PD0807DM000162
2017,814695600,1,HD,,RED,MC,12,2009,1HD1FC4199Y602481
2017,814697270,1,,,,,11,,
2017,814699960,2,SUZI,,WHI,MC,11,2013,JS1GT78A3D210615
2017,814700940,2,KAWA,VULCAN 750,BLU,MC,11,1994,JKAVNDA12RB527295
2017,814704400,1,HOND,VT750,WHI,MC,11,2002,JH2RC44042M617503
2017,814704730,1,HD,SPORTSTER,BLK,MC,11,2006,1HD1CLP176K406428
2017,814712650,1,HOND,CBR 900,BLK,MC,11,2002,JH2SC50052M008742
2017,814713240,1,HD,SPORTSTER,MUL/CO,MC,11,1995,1HD4CEM15SY202473
2017,814713390,1,HD,ROAD KING,BLK,MC,11,2008,1HD1FL4188Y685996
2017,814717350,2,HAR,MOTOR,MUL/CO,MC,11,2011,1HD1FMM17BB611114
2017,814718150,1,HRLY,,BLK,MC,11,,
2017,814722020,2,TAO,TAOTAO,RED,MC,11,2015,L9NPEACB7F1001587
2017,814722950,1,HOND,,RED,MC,11,1997,JH2PC2505VM603494
2017,814723310,1,HOND,1000,SIL,MC,11,2004,JH2SC57014M002848
2017,814725040,2,SUZI,,YEL,MC,11,2002,JS1GT74AX22100691
2017,814725250,1,HOND,,WHI,MC,11,2007,JH2PC40027M000055
2017,814728690,1,SUZI,GSXR750,BLU,MC,11,2000,JS1GR7JA242105602
2017,814728710,2,MOTI,SCOOTER,WHI,MS,12,2016,RFVPMP204G1010243
2017,814730950,1,YAMA,ZUMA,WHI,MC,12,2012,RKRSE48Y3CA080624
2017,814731370,1,BASH,SICCO,MUL/CO,MS,12,2015,LHJTLBBN0FB001932
2017,814732020,2,TAO,50,BLK,MD,12,2016,19NPEACB0P1005268
2017,814732610,1,TAOI,BASSIO,BLK,MS,11,2014,L9NTEACT5E1008088
2017,814733000,1,HOND,CBR,WHI,MC,11,2017,MLHJC6118H5204787
2017,814733910,2,HD,STREET GLIDE,RED,MC,11,2017,1HD1KRC14HB650889
2017,814736040,1,HD,1200 CUST,RED,MC,11,2009,1HD1CT3159K405269
2017,814737080,1,YAMA,YZFR6,BLK,MC,11,2007,JYARJ12EX7A022994
2017,814737160,2,DODG,DURANGO,WHI,UT,11,2016,1C4SDHCT8GC483568
2017,814738960,1,SHEN,SCOOTER,MAR,MS,11,2012,L8YTCKDMXCY900646
2017,814740880,2,HOND,CMX250C,BLK,MC,11,2001,JH2MC13021K702683
2017,814741690,1,KAWA,VULCAN,RED,MC,11,1996,JKAENVC16TA103084
2017,814746480,2,HD,DYNA,BLK,MC,11,2015,1HD1GNM12FC325531
2017,814746660,2,YAMA,,BLK,MC,11,2009,JYAVP27E99A010432
2017,814747320,1,YAMA,VS650,BLK,MC,11,2003,JYAVM01E83A047761
2017,814747810,1,HARL,MC,BLK,MC,11,2000,5HD1BX5198Y076183
2017,814749630,1,VIP,FUTURE CHAMP,BLK,MS,12,2013,L9NTELKD3D1080850
2017,814750610,2,HOND,,BLK,MC,11,1996,JH2PC2139TM300912
2017,814750750,2,KAWK,CONCOURSE,SIL,MC,11,2008,JKBZGNB178A006542
2017,814756720,1,SUZI,,MUL/CO,MC,11,2001,JS1GR7HA612104227
2017,814760520,1,HOND,HARLEY,MAR,MC,11,2007,1HD1BW5157Y092364
2017,814762460,1,HD,ELECTRA GLID,BLK,MC,11,2010,1HD1KEM16AB645609
2017,814763330,2,MOTI,RH50,BLK,MS,11,2017,RFVPMP208H1013213
2017,814766230,1,HOND,VT1100,GRN,MC,11,2001,1HFSC430X1A104239
2017,814766300,1,KAWK,NINJA,RED,MC,11,2007,JKAEXEA147A020658
2017,814774640,1,HOND,MC,WHI,MB,11,2001,JH2PC350X1M204841
2017,814776720,2,HD,XL1200,BLK,MC,11,2017,1HD1LC314HC406308
2017,814780950,2,YAMA,,SIL,MC,11,2002,JYARN10E52A003849
2017,814781300,1,GENU,RS,GRN,MS,11,2013,RFVPAC901O1001504
2017,814781990,1,,,YEL,MC,11,,JS1DC13A75842450
2017,814782550,1,HD,WIDEGLIDE,PLE,MC,11,1998,1HD1GEL16WY307019
2017,814787060,2,KAWX,NINJA,BLK,MC,11,2012,JKAEXMHXCDAA8886
2017,814789950,1,YAMAH,YZFR1,BLU,MC,11,2001,JYARN05EX1A010331
2017,814790330,1,HERH,,RED,MS,12,2011,RFLDC0519BA005526
2017,814794010,1,DUCA,,RED,MC,11,2006,ZDM1UB5W46B018021
2017,814795130,1,HOND,VT 1100,BLK,MC,11,1986,1HFSC1801GA100659
2017,814802000,2,KAWK,NIJNI,SIL,MC,11,2015,JKAEXEF10FDA22710
2017,814805800,2,LEXS,S215,WHI,4D,11,2008,
2017,814826150,1,HARLE,FXDX,SIL,MC,11,2000,1HD1GJV14YY326421
2017,815282210,1,TAOI,,RED,MC,12,2016,L9NTELKE7G1200758
2017,815282340,2,HOND,SCOOTER,RED,MC,11,2013,MLHKF1212D5003832
2017,815317290,2,KYMC,SCOOTER,ONG,MC,12,2015,LC2U6G10XFC000227
2017,815317430,1,KAWAS,KX,GRN,DIRTBIKE,11,,JKAKXTCC8WA000109
2017,815318600,2,UNK,BIKE,BLK,MD,12,2010,NONE
2017,815319420,1,ZHEJI,SCOOTER,BLU,SCOOTER,12,2016,LEHTCB039GR000071
2017,815319560,1,LASER,NONE,RED,MK,12,2016,LHJPCABA2HB301595
2017,815320440,2,HD,DAVIDSON,BLK,MC,11,2008,1HD4CN2108K444117
2017,815320460,1,ZHEJ,SPEEDBOOSTER,YEL,MP,12,2009,LFFWBT4AX91000088
2017,815321070,1,QIAN,RX200,BLK,MC,11,2006,LAWTBEMP36C101560
2017,815322370,1,RIYA,PEACESPORT,MAR,MS,11,2017,LEHTCB014HR000673
2017,815324000,1,HD,SUPER GLIDE,BLK,MC,11,2013,1HD1GV412DC319693
2017,815325380,1,YAMA,R6,SIL,MC,11,2003,JYARJ06E53A006068
2017,815325530,2,HOND,MOTORCYCLE,GRN,MC,11,1972,CB5001047682
2017,815325620,1,KAWAS,UNKNOWN,BLU,MC,11,2000,JKAZRDF16YA011010
2017,815329070,1,HD,STREETBOB,BLK,MC,11,2017,1HD1GXM15HC324601
2017,815329070,2,HD,STREETBOB,ONG,MC,11,2017,1HD1BFV17HB019730
2017,815329200,1,SUZI,M109R,GRY,MC,11,2014,JS1VY53A8E2101387
2017,815331770,2,RIYA,SCOOTER,RED/BLK,MC,11,2016,LEHTCB010GR001222
2017,815575870,1,SHEN,UNK,Gray,Motorcycle,11,2012,L8YTDNPA9CY500176
2017,815575890,2,YAMAH,YZF-R6,Orange,Motorcycle,11,2009,JYARJ16E49A012801
2017,817261870,1,HOMEM,UNK,BLK,SCOOTER,12,,T0720016100017012
2017,817271570,2,KAWK,NINJA,RED,MC,11,2000,JKAZX4J12YA013463
2017,818965390,1,HOND,UK,BLK,MC,11,2015,MLHRC7409F5100091
2017,818966050,1,KAWA,UK,WHI,MC,11,2017,JKAEREH1XHDAO1468
2017,818972440,1,HOND,UK,BLK,MC,11,2002,JH2PC35012M309074
2017,818974120,2,YAMA,CYL,BLK,MC,11,1992,JYA1TEE05NA048222
2017,818976350,1,KAWA,UK,SIL,MC,11,2007,JKAZX4P107A010440
2017,818976730,2,KAW,,SIL,MC,11,2005,JKAZRCA125A032403
2017,818979740,1,HD,,ONG,MC,11,2008,1HD1KB4158Y657868
2017,818980770,1,HOND,CYL,BLK,MC,11,2011,JH2SC5904BK300235
2017,818983000,1,SUZI,CYL,BLU,MC,11,2003,JS1GN7BA432107988
2017,818984750,2,BMW,CYL,BLK,MC,11,1999,WB10418AXXZC66378
2017,818984850,2,YAMA,CYL,SIL,MC,11,2016,JYARM06E7GA010894
2017,818985090,2,YAM,UK,WHI,MC,11,2002,JYARJ04E62A020952
2017,818986220,2,HD,CYL,CPR,MC,11,2008,1HD1GV4448K308782
2017,818987390,1,HD,CYL,BLK,MC,11,2009,1HD1KB4129Y675214
2017,818987530,2,VESP,UK,BLU,MC,11,1981,VSX1T81104
2017,818987540,1,HOND,UK,SIL,MC,11,2012,JH2RC6355CK000245
2017,818987940,2,HD,CYL,BLK,MC,11,2017,1HD1FHC19HB612363
2017,818991650,2,HOND,,BLK,MC,11,2003,JH2PC37043M008975
2017,818994550,1,KAW,UK,BLK,MC,11,2008,JKAZX4P158A043340
2017,818997440,1,YAMA,,WHI,MC,11,2015,JYARJ16E2FA032475
2017,818997640,1,YAMA,,BLU,MC,11,2009,JYARJ16E09A012925
2017,818998530,2,HD,,RED,MC,11,2000,1HD1FRW19YY641988
2017,819002550,2,KAWA,UK,BLK,MC,11,2015,JKAEX8A11FDA23177
2017,819003730,1,SUZI,MC,BLU,MC,11,2004,JS1GN7CA142107477
2017,819005430,2,KAWA,UK,GRN,MC,11,2015,JKAEX8A13FDA21916
2017,819005890,1,DM,UK,BLK,MC,11,2008,LJ4TCKPB98Y012019
2017,819007050,1,ROAF,UK,BLK,MD,12,2000,UNKNOWN
2017,819007370,1,YAMA,UK,BLK,MC,11,2009,JYARJ06E59A039919
2017,819007370,2,VICO,UK,GRY,MC,11,2015,5VPLB36N3F3044594
2017,819009230,2,UK,,BLU,MC,11,2013,L8YTCKPM2DSC00031
2017,819099520,1,SUZUK,,BLK,MC,11,2002,JS1GN7BA022108201
2017,819099620,2,HD,SPORTSTER,RED,MC,11,2009,1HD4CP2189K416711
2017,819099860,1,HD,,BLK,MC,11,1986,1HD1DJL13GY500621
2017,819168050,2,SUZI,,RED,MC,11,2007,JS1GW71A772105382
2017,819168180,2,KAW,,GRY,MC,11,1999,JKBVNCB10XB503756
2017,819168560,1,HD,CYL,BLK,MC,11,2006,1HD1BVB116Y055079
2017,819170700,2,HOND,,WHI,MC,11,2013,MLHPC4512D5000439
2017,819171490,1,HD,,GRY,MC,11,2007,1HD1HFZ167K806286
2017,819175900,2,HD,CYL,BLK,MC,11,2015,1HD1HHH10FC801655
2017,819176360,2,KAWA,Ninja,RED,MC,11,2007,JKAEXEA107A030409
2017,819180060,1,UK,Sport peace,YEL,MC,12,2014,LHJTLBBNXEB001967
2017,819180470,2,HOND,GL1800,RED,MC,11,2015,JH2SC68V2FK100091
2017,819181230,1,HD,CYL,SIL,MC,11,2015,1HD4LE215FC427207
2017,819181930,1,UNCR,UK,RED,UT,12,2017,UNKNOWN
2017,819498230,1,HD,MC,BLK,3WHEEL,11,2016,1HD1MAL1GB860007
2017,819631140,1,HD,FLHXSE,BLK,MC,11,2011,1HD1PZ812BB956717
2017,819658060,1,KAWK,ZX600 F NINJ,GRN,MC,11,1996,JKAZX4F17TA018790
2017,819683460,1,HD,XI1200,BLK,MC,11,2003,1HD1CGP493K438813
2017,819683470,1,YAMA,ZF6R,RED,MC,11,2015,JYARJ18E4FA014279
2017,819683480,1,CANAM,SPIDER,WHI,AM,11,2013,2BXNBBC11DV003315
2017,819806320,1,HD,FAT BOY,BLK,MC,11,2005,1HD1BXB175Y072107
2017,819806340,1,KAWK,NINJA,BLK,MC,11,2012,JKAEXEE16CDA04385
2017,819884820,1,HD,POLICE,GRN,MC,11,2016,1HD1FHM15GB641016
2017,819884910,1,SUZI,GSX 750,BLK,MC,11,2015,JS1GR7NA8F2101924
2017,819887030,1,HD,SPORTSTER,BLK,MC,11,2012,1HD1LC314CC455503
2017,819893240,2,HD,FXDB,BLK,MC,11,2016,1HD1GXM15GC309286
2017,819893390,1,HD,FXSTB,BLK,MC,11,2009,1HD1JA5179Y032594
2017,820284740,1,MOTI,ROADHOUSE R5,RED,MC,12,2012,RFVPMP207C1005225
2017,820306280,1,HD,ROAD GLIDER,BLK,MC,11,2017,1HD1KTC1XHB615996
2017,820306310,1,HOND,OTHER,BLU,MC,11,2003,JH2RC44513M701632
